Timestamp,MachineID,RepairID,RepairType,Component,RepairDescription,RepairDuration
2024-03-13,Machine_6,1,Type_1,Component_5,Type_1 performed on Component_5,25
2024-01-24,Machine_7,2,Type_1,Component_4,Type_1 performed on Component_4,6
2024-02-07,Machine_7,3,Type_1,Component_3,Type_1 performed on Component_3,5
2024-04-05,Machine_1,4,Type_3,Component_5,Type_3 performed on Component_5,18
2024-03-31,Machine_1,5,Type_4,Component_6,Type_4 performed on Component_6,19
2024-01-24,Machine_2,6,Type_3,Component_6,Type_3 performed on Component_6,12
2024-04-04,Machine_1,7,Type_3,Component_9,Type_3 performed on Component_9,24
2024-03-02,Machine_6,8,Type_4,Component_9,Type_4 performed on Component_9,11
2024-02-25,Machine_3,9,Type_1,Component_10,Type_1 performed on Component_10,15
2024-04-07,Machine_9,10,Type_2,Component_2,Type_2 performed on Component_2,1
2024-03-24,Machine_5,11,Type_1,Component_8,Type_1 performed on Component_8,31
2024-03-23,Machine_8,12,Type_4,Component_2,Type_4 performed on Component_2,26
2024-01-17,Machine_10,13,Type_1,Component_5,Type_1 performed on Component_5,20
2024-04-01,Machine_8,14,Type_2,Component_8,Type_2 performed on Component_8,44
2024-01-11,Machine_6,15,Type_5,Component_9,Type_5 performed on Component_9,17
2024-01-30,Machine_5,16,Type_3,Component_10,Type_3 performed on Component_10,25
2024-01-13,Machine_9,17,Type_4,Component_10,Type_4 performed on Component_10,39
2024-02-29,Machine_1,18,Type_3,Component_1,Type_3 performed on Component_1,26
2024-03-23,Machine_7,19,Type_4,Component_4,Type_4 performed on Component_4,4
2024-03-24,Machine_1,20,Type_5,Component_9,Type_5 performed on Component_9,21
2024-02-27,Machine_2,21,Type_3,Component_1,Type_3 performed on Component_1,17
2024-02-13,Machine_7,22,Type_1,Component_8,Type_1 performed on Component_8,48
2024-01-27,Machine_4,23,Type_3,Component_8,Type_3 performed on Component_8,30
2024-04-01,Machine_6,24,Type_3,Component_2,Type_3 performed on Component_2,33
2024-03-16,Machine_4,25,Type_2,Component_6,Type_2 performed on Component_6,24
2024-02-02,Machine_8,26,Type_4,Component_7,Type_4 performed on Component_7,36
2024-01-06,Machine_8,27,Type_4,Component_8,Type_4 performed on Component_8,23
2024-02-22,Machine_9,28,Type_5,Component_5,Type_5 performed on Component_5,43
2024-03-09,Machine_10,29,Type_2,Component_2,Type_2 performed on Component_2,26
2024-03-22,Machine_10,30,Type_3,Component_3,Type_3 performed on Component_3,43
2024-04-04,Machine_5,31,Type_1,Component_8,Type_1 performed on Component_8,35
2024-03-11,Machine_6,32,Type_3,Component_10,Type_3 performed on Component_10,40
2024-03-26,Machine_4,33,Type_5,Component_8,Type_5 performed on Component_8,14
2024-01-12,Machine_1,34,Type_1,Component_3,Type_1 performed on Component_3,27
2024-03-01,Machine_1,35,Type_3,Component_8,Type_3 performed on Component_8,32
2024-03-15,Machine_6,36,Type_2,Component_10,Type_2 performed on Component_10,48
2024-03-03,Machine_8,37,Type_5,Component_1,Type_5 performed on Component_1,23
2024-03-24,Machine_8,38,Type_1,Component_2,Type_1 performed on Component_2,15
2024-03-14,Machine_7,39,Type_1,Component_8,Type_1 performed on Component_8,16
2024-02-15,Machine_3,40,Type_2,Component_2,Type_2 performed on Component_2,23
2024-02-26,Machine_9,41,Type_4,Component_5,Type_4 performed on Component_5,15
2024-03-26,Machine_9,42,Type_3,Component_7,Type_3 performed on Component_7,28
2024-01-10,Machine_3,43,Type_3,Component_8,Type_3 performed on Component_8,45
2024-04-09,Machine_1,44,Type_4,Component_2,Type_4 performed on Component_2,23
2024-02-25,Machine_2,45,Type_5,Component_6,Type_5 performed on Component_6,18
2024-03-26,Machine_5,46,Type_5,Component_2,Type_5 performed on Component_2,37
2024-02-28,Machine_10,47,Type_3,Component_10,Type_3 performed on Component_10,33
2024-01-26,Machine_3,48,Type_5,Component_3,Type_5 performed on Component_3,28
2024-02-19,Machine_6,49,Type_2,Component_3,Type_2 performed on Component_3,28
2024-01-03,Machine_6,50,Type_4,Component_6,Type_4 performed on Component_6,31
2024-02-20,Machine_2,51,Type_1,Component_5,Type_1 performed on Component_5,18
